,precision,recall,f1-score,support
T-shirt/top,0.8592677345537757,0.751,0.8014941302027748,1000.0
Trouser,0.9927385892116183,0.957,0.9745417515274949,1000.0
Pullover,0.8057199211045365,0.817,0.8113207547169812,1000.0
Dress,0.866235167206041,0.803,0.8334198235599377,1000.0
Coat,0.76248821866164,0.809,0.7850557981562348,1000.0
Sandal,0.9731182795698925,0.905,0.9378238341968912,1000.0
Shirt,0.5945017182130584,0.692,0.6395563770794824,1000.0
Sneaker,0.8830570902394107,0.959,0.9194630872483222,1000.0
Bag,0.9627391742195368,0.956,0.9593577521324637,1000.0
Ankle boot,0.9574468085106383,0.945,0.9511826874685455,1000.0
accuracy,0.8594,0.8594,0.8594,0.8594
macro avg,0.8657312701490149,0.8593999999999999,0.861321599628913,10000.0
weighted avg,0.865731270149015,0.8594,0.8613215996289127,10000.0
